ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [msecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
75,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",77556,0.13,32.07,64.12,54
76,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7453,0.01,0.45,0.52,54
77,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7489,0.01,0.45,0.52,54
78,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7481,0.01,0.45,0.52,54
79,8,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4," 2304,    1,    1"," 1024,    1,    1",265792,0.46,37.38,79.37,54
80,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    3,    1,    1"," 1024,    1,    1",11834,0.02,1.12,1.30,54
81,8,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4," 2304,    1,    1"," 1024,    1,    1",266099,0.46,37.34,79.14,54
82,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7492,0.01,0.45,0.52,54
83,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7482,0.01,0.45,0.52,54
84,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7501,0.01,0.45,0.52,54
85,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",77444,0.14,32.12,64.25,54
86,7,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"    1,    1,    1"," 1024,    1,    1",7498,0.01,0.45,0.52,54
87,6,adan_cuda_kernel,"void adan_cuda_kernel<float, float>(T1 *, T2 *, T2 *, T1 *, T1 *, T1 *, const T2 *, float, float, float, float, float, float, float, float, float, bool, float, unsigned long)",[1917] python3.9,Tesla T4,"  576,    1,    1"," 1024,    1,    1",76864,0.13,32.36,64.77,54
